7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
-0.18397674,-1.3703208,-1.092315,-0.3708634,-0.3716575,-1.3337377,-0.010378312,0.43718234,-0.80008465,-0.75624406,-1.2852154,-0.008177395,-1.4059783,0.79115605,0.27856052,0.06258922,0.8615839,0.74005383,0.1746902,-0.7248423,0.6985178,1.9242219,0.47052917,0.64218575,-0.008501225,1.2882125,1.0222391,0.764083,-0.95138353,1.4743893,0.6744454,0.56382084,-0.15962875,0.3299809,1.5024533,0.015485378,-1.3746198,-0.004087359,-0.04757789,-0.46765184,-0.774492,0.985137,0.75847775,-0.2968022,0.09942167,-0.5050928,0.7390341,-0.6866458,-1.5552348,-0.8376678,-1.3965409,-0.81412035,0.09645663,-1.5130719,-0.3076067,-0.40949044,-0.023842528,-0.8246905,-1.0603775,0.4976086,-0.53651,-0.67284614,-1.5675361,0.49254727,0.36179507,-0.12890522,-0.061222784,-0.16817714,0.6682835,0.37919855,0.61741173,1.1906747,1.2621,-0.040762678,0.71849006,0.7197247,0.5440786,0.9047121,0.3158876,-1.0922743,0.43777096,-0.5556678,0.48503208,0.022049997,1.0693122,0.44506475,0.27869585,0.8772142,-0.099301755,-1.1143165,-0.5897452,-1.0171525,0.0014324151,0.381213,1.1720757,-0.24139732,0.123993434,-0.54482144,-0.79773885,-0.8189074
-2.1979241,-1.6965894,-1.9709026,-1.9468232,-0.8879051,-1.5243582,-0.64057624,-0.09734499,-1.1334037,-1.7319108,0.035234343,1.3471158,-0.52095777,0.65743315,0.5359659,-1.1026547,-0.5193947,-0.040765245,-0.152439,-1.0335922,-0.25605524,-0.314394,-0.103728734,-0.09141982,1.0463207,0.9876893,0.75095946,-0.35740462,-0.2689209,1.0293823,0.05734415,-0.82110417,-1.86723,-1.1500148,-0.15184689,-0.6992615,-1.4433732,-1.4075285,-0.9565839,-0.78006166,-2.1883516,0.29107383,-1.4328059,-0.8425154,-0.5297937,-1.4199879,-0.29031545,-1.6878039,-1.2626739,-1.6623611,-1.4319384,-1.886944,-1.1182129,-2.9158401,-1.3217531,-2.0331292,1.2546049,-0.8875005,-1.8094655,-1.74584,0.570681,-0.85346675,0.95379275,0.28973147,0.33107764,-0.92180294,-0.46935862,1.3958021,0.39056563,0.5573495,-0.07583728,1.1147532,0.49454248,-0.82072014,0.53500414,1.2251117,-0.16256149,1.5152937,0.799034,-1.1600496,0.9740377,-1.141642,-0.48910227,0.5436074,1.9557575,0.622276,-0.73159313,0.116873674,-0.6257819,-1.610846,-1.084151,-1.5092697,-0.5356407,0.14372617,1.4749761,-0.54339564,-0.041524645,-1.3605366,-1.5045395,-1.5206002
-0.8666151,-1.5499834,-0.07071063,-0.95370287,-1.0571492,-1.1487362,-0.071074836,0.02737128,-1.0163734,-0.9075015,-0.7627069,0.2083452,-1.0517776,0.46561477,-0.14581545,-0.82077986,0.74360913,0.54462093,0.2873234,0.0674079,-0.548728,-0.29547098,0.66736054,0.13436733,0.3647394,0.96892476,0.9394555,-0.3396995,-0.06661029,-0.33352616,1.2408217,-0.3226632,-0.56541353,-0.35893,0.68324816,0.113460295,-0.028294759,-0.861989,0.4037881,-0.10939272,-0.8863134,-0.148094,0.52425975,-0.50995815,0.5676541,-0.48955262,-1.8635083,-0.66389936,-1.3229493,-1.0517297,-0.7156308,-1.3572893,-0.5605056,-1.5609246,-0.9430433,-0.3931383,-0.16440645,-0.9264392,-0.8922744,-0.9710739,0.42676333,-0.049226306,1.2723436,-0.021544144,0.5945848,-0.08006789,-0.33552295,-0.14367253,1.1085445,1.0289284,-0.49260074,0.9485889,0.7786528,-0.68820274,0.6706527,0.7524577,0.13703033,0.9343547,0.44848716,-0.49495035,0.6230359,-0.15172507,-0.7004461,0.95532286,0.04525793,1.6075741,0.08992879,0.3378369,-0.1601765,-1.265339,-0.29117936,0.53185874,0.004503284,-0.4019231,0.99608827,-0.3423397,0.059183594,-1.6364628,-1.0012935,-1.0071399
-1.2410114,-0.27319247,0.4030617,0.31404203,-0.60512733,-0.43078935,-0.17360735,2.26266,-0.42616287,-0.7178096,0.44955498,2.0373316,0.23308697,1.3766298,0.94616026,-0.110847436,0.43025336,0.9251452,1.9149061,-0.38414082,2.120067,0.6869387,1.7448355,-0.370969,0.25926006,0.25407407,0.1013531,0.21079336,0.48043224,0.8684374,2.0647714,-1.282974,-1.2140586,-0.8256848,0.29099497,-1.0432128,-1.2766178,-0.058437534,-0.46946138,-1.5223209,-0.96356225,0.16166112,-0.7049752,-0.08569487,-0.060512528,0.039727017,-0.600819,-0.26102602,-0.6976897,-0.74596906,-1.1362238,-0.9906263,0.5153418,-0.012626849,0.10679803,0.36408168,1.1381497,0.6904006,-0.47693226,0.8774766,2.1839252,-0.16529064,1.023231,1.2548385,0.9249016,0.9856336,-0.15099508,2.5184686,0.50985473,0.84040207,0.6348347,1.376529,1.566253,-0.8601233,0.711254,1.5184349,0.5214922,2.0388398,0.1420681,-0.24968554,-0.20013717,-0.4299231,0.08231836,1.9020017,0.4941026,-0.42533603,-0.5215285,-0.04086899,-0.90011984,-1.0298089,-0.4707004,-0.40115476,-1.2703384,-0.012217611,-0.29829457,0.094873965,0.3450523,0.45518368,-1.3275454,-0.7846429
-1.078737,-0.3639558,-0.577337,-0.5319952,-0.49246508,-0.73714834,-0.67454076,0.0407089,-0.9718567,0.3039955,-1.0411557,1.7296077,0.41119376,0.6416401,-1.3759676,-0.03155866,-0.27256814,-0.64879537,-0.29872748,-0.40843838,0.3700635,-0.22901417,0.13026932,0.22052409,1.1412053,0.5450708,1.4351705,1.0436367,0.097465515,1.0641388,1.0576353,-0.49954137,-0.6355709,-0.4671457,-0.103500195,-0.043540273,-1.1659069,-1.2077254,-1.0113949,-0.46825323,-0.68935907,-0.27843547,-0.11657503,-1.44756,-0.5786049,-0.6777021,-0.7626935,-0.07568419,-1.3574921,-0.50376374,-0.7715679,-1.3659729,-0.27794957,-0.36952877,-0.2356555,-1.1609787,-0.284345,-0.75624007,-1.2000316,-0.85258394,0.14904423,0.15492387,-0.6981157,-0.078654386,-1.5358231,-0.52056646,0.3993333,-0.64613014,0.5724489,0.08601969,-0.56263936,0.69388634,0.039517973,0.34685835,0.81771237,0.7319588,0.5026111,1.3676264,-0.25592244,-1.5675957,0.70736414,-0.68820834,-0.050919246,0.13684405,1.6565462,-0.6135661,-0.6403703,0.7294035,-0.18666574,-0.16169977,-1.3915093,-1.3304317,-0.3757955,-0.43311378,0.17231509,0.4026003,0.5756507,-0.58711374,-1.0063355,-0.444118
-1.0738024,0.6963608,-0.96980274,-1.221109,-0.17810202,-1.4750419,-0.86631763,-0.85599864,-0.02028172,1.0842788,-0.8918512,-0.24441525,0.67935777,-1.0646226,-1.2462728,-0.54509056,0.3038044,-0.8694268,-0.9898203,-0.5422646,-1.9833704,0.056793917,-0.9716936,0.89276874,0.76678294,1.1928148,0.29842958,-0.55653113,-0.5714859,0.047533862,-0.33411977,0.9053858,-0.4169038,0.70914626,0.38559568,0.00937081,-1.1245924,-1.4341817,0.5688523,1.4832554,-0.24210897,-0.070198685,-0.036003657,-2.548904,-1.3257732,-1.0359312,1.0587984,-1.6508746,-0.9580253,-0.77560204,-0.6773124,-0.9849693,-0.3854834,-1.1443537,-0.22319672,0.13434877,-1.7077111,-0.8291224,0.119386956,-1.5370522,-0.51625544,-0.37893596,-0.87124366,-2.1019049,-2.3728113,-0.6704221,0.87142104,-0.5685022,0.61668295,-0.83365685,-0.71089655,1.2419764,-0.85377765,1.9097201,1.0093316,0.39707336,-0.3264347,0.8371256,0.061681483,-0.38887906,0.87392175,-0.33268806,0.4040183,0.99681705,0.3510602,1.5940502,-1.1656052,0.45420656,0.17562073,0.26109272,-0.3724912,1.8518138,1.6164429,-1.6167471,0.949461,-1.1692117,-0.51944864,0.9931852,-0.55244976,-0.49018726
-0.40934193,0.3995584,-0.20138289,-0.08567479,0.13197407,-0.5177311,0.11364277,-0.70252377,-0.92261773,-0.25518188,-1.036207,-0.41448453,-0.8660812,-1.4950925,-0.86301804,-0.03581961,-0.43468732,-0.05843923,-1.6283537,-0.1376417,-1.6913205,-0.63875973,-0.2573758,-0.06892902,-0.7619769,-0.19951446,-0.48675948,-0.4812568,-0.73012644,-0.98870397,0.67450607,0.32958737,-0.067854784,0.62073576,0.7010361,0.43679166,0.021173162,0.22416833,0.8448026,0.43351558,0.1088838,-0.56942546,0.13253546,0.7741816,-1.4427925,-0.11242055,0.2083679,-0.06926462,0.32261354,-0.06730597,0.3392751,-0.3327535,-0.33558166,0.09769681,0.30519703,-0.88553166,-1.2049809,-0.6774297,-1.7331918,-1.6485584,-1.0008045,-0.2561073,-1.8394356,-1.4008346,-1.7098925,-2.0104926,0.0071752938,-1.9185317,0.5852059,-0.29160416,-0.708364,-0.7549281,-0.18968399,0.84295434,0.14427128,0.26629844,-0.77221745,-0.43359274,0.44593814,-1.7889051,0.51051456,0.5981197,0.48750117,-0.98631686,0.55174154,0.75902176,0.096120976,-0.42946097,0.6861548,-0.27104342,-0.93336356,0.9467323,0.0678963,-0.043649547,0.30220878,1.3687278,0.83368284,0.88949865,0.6395876,-0.2335268
1.1664472,0.68527174,0.98026925,-0.071030274,0.370892,1.6439911,0.16267647,-0.69076824,1.062955,0.27700987,-1.357638,0.1727699,0.86969835,-0.103702106,-1.3501139,-0.7181498,-1.0564023,-0.42302364,-0.5323511,0.046189763,-1.177545,-0.98212767,-0.4541718,-0.97816783,1.2653317,0.2782011,1.5022808,0.7628672,-0.51572055,-1.3999114,-0.30106544,-0.044390116,-0.07487878,0.76980406,0.028481374,0.8994855,2.3377342,0.32884204,-0.18709941,0.19784726,0.8076748,0.27288592,0.581777,1.8050512,0.64643264,0.96819764,0.5578486,1.4727447,1.5122781,0.4769029,-0.05026616,0.8182656,-0.48994,0.69343054,1.3722247,1.7249166,-0.95230424,0.5506954,1.1786624,-0.4066532,0.13260224,0.43125907,-0.88309383,-1.1356854,-0.38857082,-0.31911182,0.32381064,-0.80709946,-0.055873133,0.0269857,-0.7718698,-0.63899577,-0.34679937,0.09257955,-0.92416495,0.059238933,-0.1257767,-0.43934572,0.56822425,0.67548996,-0.02936121,1.2991977,0.47538513,-0.091113016,-0.12184007,0.11362211,2.1013148,0.9790353,1.097085,0.788954,0.6281391,-0.119355224,-0.065313414,0.17776781,0.9676318,1.6040511,1.1245384,1.6378016,1.9092878,0.92748594
0.80408764,0.98000705,1.4028108,0.87457484,1.0700952,1.8904392,0.31230173,0.34705827,1.3040402,-1.2196308,-0.47645018,-0.50392634,-1.6644332,-1.1525285,-0.4838766,-0.90548867,-1.2376955,-0.46992525,-0.03029476,-0.50230455,-1.3153789,-1.2107553,-0.9429561,-1.9415549,-0.32490912,-0.6176113,0.8526513,-0.77364814,-1.7329636,-2.4741318,1.6619778,-0.39318797,1.0288727,0.2170315,-0.1284942,-0.72051615,0.2666809,0.4951353,0.096326545,-0.9755249,0.9175501,-0.5014501,0.10801502,1.6314632,-1.0370574,1.2180083,-0.55669874,1.1025661,1.4252787,1.5058699,0.31275418,1.2184572,-0.2063944,1.6266264,1.557893,-0.22869259,-0.15663627,1.5185709,-0.28497767,-0.034295008,-0.55916953,0.27248248,-1.3160437,-0.42370754,0.036062207,-0.25918064,-1.3537952,-1.3156698,-1.3367273,-0.8098133,-0.87177545,-1.827452,-1.006238,-0.7073327,-1.7666875,-1.723376,-0.5307668,-1.2441993,2.097737,-0.4064203,-1.3544095,1.4802284,-0.83093417,0.1545445,-1.5205318,0.8661155,-1.1864635,-0.32308766,-0.71940154,0.9104644,1.3343002,0.47071576,-0.5311391,0.41732094,-1.4297988,1.125976,0.88197404,-1.0599512,0.53851867,0.7658075
1.1300755,2.408602,0.48134294,2.1087105,1.2769707,0.87431777,0.64472,0.3106303,0.7022389,-1.8186978,0.03942667,0.25969902,2.3913572,-0.988455,-0.06042698,0.16257244,-0.111129776,-0.9764622,0.32192108,-0.9503816,-1.0398871,-0.22297864,-0.30540544,-1.4597659,0.33192152,-1.116676,0.20805538,-0.178871,-0.3334251,-0.9652211,-1.8103752,-0.7669501,0.29792112,-1.5227798,-2.2979422,-1.6409882,-1.7171054,0.95728385,-1.1528766,-1.3228004,-0.839393,-0.784734,-1.324757,0.15504333,-0.4342266,-0.12700249,-2.1624005,-2.3690033,0.23084338,0.004241434,-0.21854386,-0.20159595,-0.103754096,1.4903489,1.5684232,-1.2674739,0.20880073,-0.23056954,-0.006803432,0.7265702,-0.03058776,1.6144077,-1.4980929,-0.8619292,-0.88172334,-0.42751095,-1.0919461,0.30899787,-1.0429053,-1.0834212,-0.5653048,-0.6819681,-0.71820486,-1.079575,-0.031851184,-0.8525892,-0.04851173,-0.14708866,1.8563433,-0.36513233,-1.2854583,-1.2091748,-0.54519975,-0.9026282,-0.706196,-0.9921546,-0.79101896,-1.3196362,-1.537064,0.2420764,0.109541126,-1.315755,-1.6206789,-1.639284,-1.0003892,1.2496934,-0.0185894,0.3687392,-0.36995855,0.30175692
