7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
0.0767101,0.6669584,0.06508392,-1.2486202,0.24345857,1.2851468,0.1227124,0.48052725,1.5790141,-0.7644984,-0.9210301,-0.40083802,-0.14756161,1.0407968,0.48245797,-0.2195766,0.51358926,0.09969855,1.3098024,-0.26666224,0.091519624,-0.40218416,-0.17076294,0.24851507,-0.4932329,0.5896417,0.26598528,-0.17052817,-0.15779775,-0.0062260446,-0.048914596,0.131266,0.015717288,0.42080674,0.09615717,0.28576374,-0.41241223,0.20551398,0.43151686,0.54038256,0.62731177,0.001307516,-0.1657496,0.17865658,-0.13955754,-0.2969875,0.010227887,0.21697591,0.2797563,-0.4656721,-0.6174838,-0.75550306,-1.0686611,0.15495469,1.8064398,-0.15802759,-0.35784242,0.79524356,-0.6256667,0.5136282,-0.25992292,0.35447073,0.23158935,-0.06792645,-0.068938896,-0.37471575,0.31863838,0.42902717,0.41102538,0.203573,-0.29518902,0.7604757,-0.08605632,0.7626999,-0.032866966,0.3190007,-0.7412927,-0.4026145,0.42912155,1.6465914,0.6564012,1.2664237,0.38842383,0.65231013,-0.08977201,0.62968266,0.038530197,0.1804137,0.61260164,0.39839894,0.71952105,1.6660858,-0.6102011,0.9316822,1.3942305,0.8647163,0.69941664,0.5992229,0.51567423,0.22195965
-0.63467646,-0.73578376,-0.99688786,-1.2979649,-0.04980115,1.0034348,-0.0076514618,0.37511373,0.998412,-0.77261436,-0.58897364,0.6945696,-0.08937011,1.9851942,0.8133813,1.0012022,0.5246633,0.33691645,-0.5253229,-0.32823253,0.32177296,-0.620552,0.60858905,-0.32000902,0.3869263,-0.83714545,-0.6788748,-0.20039843,0.19756375,1.2910302,0.13207673,1.3571385,0.03231987,0.2855658,0.11963749,0.9434683,-0.7263928,0.38485402,0.5713372,1.0396996,0.3075419,0.16603604,-0.25289443,0.8007934,0.31555015,0.031698126,0.46953234,0.6389148,0.41362354,0.22024596,-1.9721595,-1.0668948,-0.25575218,-0.47056705,1.2006286,-0.09626846,-0.83274984,0.8137707,-1.3224869,0.25119683,-0.4970838,-0.081782356,1.324792,1.6622874,1.8149314,1.0786588,-0.2820198,0.51019603,0.7294235,0.6296986,-0.18973847,0.7644906,0.41820893,0.0103049055,-0.23078483,0.5989898,-1.0182025,0.73287815,0.13652135,0.36359996,0.5482963,1.0472145,0.66614723,0.77541465,-0.6311564,0.78855175,0.21466157,0.49999124,1.1493526,0.81028163,0.18208177,0.13312632,-0.938729,0.6835746,1.0871617,1.0321853,0.56174064,0.6086827,0.77142334,0.36396968
-0.9122817,0.36895707,-0.4166595,0.3295828,-0.16617356,0.84435,0.25550482,-0.03382723,1.0502397,-0.34527105,0.118879035,0.2520213,0.77665776,0.8563469,0.30238473,0.14479291,0.8691592,0.04610961,0.2970393,-0.55749106,-0.23497513,-0.25208303,0.27281007,1.6223029,1.3730725,0.13341114,0.24727328,0.16367948,1.2039113,0.19365625,-0.73911405,0.5891692,-0.39707884,-0.32393262,-0.21057679,-0.74854785,-0.98271835,0.09931529,-0.5956525,-1.7355261,0.048220657,-0.37196416,0.37909523,-0.52911395,-1.1475368,-0.2785727,0.28015903,0.6914007,0.118937664,-1.0790719,-1.0827149,0.24888496,-0.25419933,0.6550776,0.10488332,-0.49525288,-1.2398175,0.47793713,-0.6841792,0.68268895,-0.09613881,0.7060819,0.46507183,-0.3530085,-0.0027163508,0.25810215,-0.03499072,0.4824581,-0.50481135,-0.2522776,-0.10349387,-0.56063044,-0.4699352,-0.9910258,0.04673103,0.98547846,-0.13255794,0.38556784,-1.3723911,0.777931,-0.03551344,-0.9430586,-0.7224971,-0.15510227,1.5085251,-0.42104793,-0.8759573,-0.8494213,-0.9821347,-0.4761097,-0.950429,-0.08706628,-1.4955546,-0.61020744,1.3771113,-1.2970217,-0.17388485,-0.45112434,-0.85277605,-1.2368858
-1.3586453,-0.27613398,0.16640536,-1.4262813,-0.1659038,0.7788954,0.1639228,-0.20968519,1.0565318,-0.13383478,-0.53477293,0.32415068,0.43933922,1.2668552,0.8457278,0.54271126,1.044314,0.4062793,0.051115487,0.24351367,0.9518998,0.27604842,0.926256,1.2213645,-0.15036489,0.45349216,0.2261504,0.42262283,0.04989365,0.5394108,0.2118727,-0.06703261,-0.8345121,-0.06391118,-0.056402966,0.38901788,-0.45106098,-0.6004569,-0.19168563,0.32934433,0.3189636,0.41653192,0.3395083,-1.440601,1.090937,0.1396204,-0.25228968,0.6479765,-0.028288152,-0.36466646,-0.70240605,-0.58394355,-0.46982604,-1.8444453,0.07283024,-0.81388724,0.79765415,0.32454655,-1.4435267,-1.1774874,-0.80528104,-0.81580776,0.35791394,1.3951324,1.1968876,1.0817412,-0.3945596,-0.2409557,-0.20041525,0.091559455,0.5699158,-1.9833364,-0.27666986,-0.85299754,-1.239662,-0.5881087,1.5832641,1.4144065,-0.8242182,-0.73733544,0.29705742,-0.5490507,-0.9874095,-0.213934,0.05257467,-0.09951358,-0.51755273,-0.12789358,-0.44117865,-0.3407825,-1.2895765,-0.7537329,-1.2185506,-0.0439428,0.19557203,-0.5220899,0.3007808,0.046634175,-0.5563728,-0.7154516
0.06630153,0.21969241,0.38732103,0.49733782,0.90885824,-0.06836583,0.26398304,-0.8157734,0.26123193,0.22577882,-0.76557845,-0.47891507,0.3429764,0.39610887,0.25667423,0.44444758,1.0523471,-0.0970458,0.7822877,-0.048703,0.07682813,0.06198958,-0.7155807,0.08433106,0.7854494,-1.0009222,-0.5831348,-1.2624984,0.27887055,-0.324631,-0.39392895,0.60382843,-0.5581501,-0.091420874,-0.314731,0.3618825,-0.43822232,-0.11700369,0.17260638,-0.7332591,0.17282183,-0.14297916,-1.1580139,0.10988619,-1.3634695,-0.92880267,-0.8335756,-0.59235936,0.8431694,0.14778246,-0.51401585,-0.9453784,-0.014592166,0.41273078,-0.60221076,0.46939957,-0.20163247,1.0595025,-0.210219,1.6788536,-0.49393064,-0.6144552,-0.80831236,0.35263738,-0.5278945,-0.2753384,-0.10213876,-0.81680787,-0.22046712,-0.026012005,-0.74394906,-0.86125326,-1.4518051,-0.4240693,-0.57793045,0.36902645,-1.1633253,-0.78876936,-0.3213779,-0.27032843,-0.48003858,-0.5333023,-1.2185351,-0.52801573,-2.3169494,-1.135935,-0.81952167,-0.46817183,-0.2647928,-0.007467557,-0.22841689,1.3847337,-0.74600655,1.2976248,0.7541877,-1.263618,-0.94482934,-1.0314459,0.014273882,-0.37754226
-0.21931666,0.11670304,-0.066533715,0.3406121,0.6367433,0.4541536,-0.100639485,0.30956563,0.20979379,-0.11182276,0.3143968,0.32122478,1.7593112,0.90342367,0.9633497,-0.727416,0.45348853,0.45182648,-0.43389338,0.30281395,0.5600895,-0.23370555,0.06193129,0.38296565,-0.2726855,-0.5465306,0.43423492,-0.049245138,0.41284096,1.207222,-0.40363646,-0.1349536,-0.6540192,0.5824622,0.05474625,0.8384382,0.71434426,0.34380248,-0.11276027,-0.5206894,0.51059854,-0.4141931,-0.76881427,0.687515,-0.44454908,0.5335721,0.27606538,0.31711778,0.95328444,0.780664,0.123836346,-0.673794,0.5317277,1.0446548,-0.49977928,-0.4376015,-0.18488856,0.1344906,0.14257817,1.2678016,1.0258968,1.5522621,0.97642756,0.8187261,0.70381284,0.3854194,-0.0049332543,0.2401279,0.45776835,1.1275192,0.3568356,-0.14204109,-0.57406217,-0.7731792,-0.25882655,-0.6349355,0.393862,0.4533643,0.103238195,-0.14473902,0.30676588,0.7845424,-0.5738701,0.51864153,-0.47505382,0.34043902,1.2192783,-0.47875977,0.73055136,0.19557975,0.20086779,2.220399,-0.8610451,-0.23280054,0.70913607,0.12259604,0.17270842,0.6988576,0.8563612,0.30685967
0.99850583,1.0200759,0.84411865,0.047874723,0.9351642,1.530367,1.1574059,2.4867985,0.96282583,0.76573324,1.3287605,1.5426904,0.7474056,1.5773506,1.384959,-0.7355983,-0.18088345,0.45716482,1.7584127,0.21401426,0.7940738,0.19645254,0.47187275,-0.1464479,0.03426942,0.61695224,0.67034256,-0.6738555,0.6076616,0.19603689,-0.30028486,-0.06757804,0.23259322,-0.026394311,-0.2636171,0.89025927,0.8931847,0.21884987,0.54568195,1.2576917,1.3244686,0.6132332,0.3812759,1.1845722,0.4347162,-0.06916144,-0.3546301,-1.0194054,2.1008928,1.3995637,1.0950981,-0.19066495,0.4154443,0.6266913,0.048251443,0.9026213,0.1581701,-1.0165199,1.0608097,1.8424993,1.8638375,1.4057688,1.3840038,0.21465507,0.2141364,1.3200779,0.499979,0.9555721,0.054843847,-0.36458904,0.22776118,0.78308827,0.41002348,1.1121551,0.33865365,0.9991397,-0.11865677,0.74622387,0.8021203,1.9865676,0.15687308,-0.3207015,0.053761177,-0.48754874,-0.78946847,-0.52464753,1.0458198,-0.05553714,0.6363972,0.6726545,-0.09347627,1.0032212,0.13438939,0.67507625,0.9506145,1.9235747,-0.14106262,-0.38520917,1.9126511,0.9361529
-0.819349,-0.88584304,0.71486205,0.006736502,0.4865095,-0.22554828,0.068055466,0.7087951,1.3030463,1.459821,-0.6460415,-0.42563218,0.28908125,-0.28109112,1.7380457,-0.4988088,1.4006536,0.22460563,-0.59816116,0.29992592,1.321208,-0.21899125,-0.11015754,0.8662338,0.19633056,0.5141354,-0.14862068,0.18341647,0.0123925395,0.15401986,0.8290724,0.64681447,-0.67205995,-0.12070254,0.3886378,0.07823388,-0.8954411,-1.1081362,0.42402682,0.31757638,0.34376,-0.6680503,0.4782986,-0.5269363,-0.11541629,-0.19145505,-0.019942114,-0.1567704,0.08955553,-0.5656224,-0.12943852,0.27173412,-0.5016314,0.3436087,-1.0986562,0.83887416,-0.5947911,0.4744028,0.48259372,0.7042989,0.18428572,-0.049758203,0.6145925,0.32128686,0.6421373,1.3719448,-0.9153308,0.2929796,0.1394071,-0.094420224,0.97123915,-1.3056039,0.12271908,-1.2983162,-0.47666237,1.6129538,0.8397868,0.94089985,0.28208318,0.3615181,-0.027405998,-1.2008479,-0.58986306,-0.5404514,-0.037917726,-1.1660507,0.18745235,0.55639327,-0.10049419,-0.860963,-1.9804009,0.0017882271,-0.8719809,-0.0027016713,-0.7632949,-1.5563842,-0.31317547,-0.8725286,0.023498103,-1.3685956
0.12418656,1.3004507,0.68367165,0.7046148,1.7887979,0.27211463,0.33409578,0.28140777,1.3615626,0.354445,-0.8173593,0.13103664,-0.5071015,0.82872105,0.4221858,0.090031244,1.391918,0.02908267,1.1052195,-0.41085038,0.022430949,0.21665077,-0.52104867,0.08365035,0.409073,-0.4845025,0.10290668,0.3528042,0.5053505,-0.17109688,-0.36592507,0.20201077,0.6657725,-0.016443912,0.4294367,0.44996357,0.11065973,0.20858419,-0.28285033,0.031452563,0.53043747,1.0783242,0.5488185,-0.47743168,0.9869675,0.058634568,0.3235047,0.31034538,-0.20345996,-0.2891889,-1.2883741,-0.50886816,-0.9398631,0.50729597,1.8871411,-0.80800265,-0.24008909,0.3570265,0.41005102,0.8434729,-0.94781655,-0.5905965,0.45295054,-0.33914447,-0.31950232,0.59097606,-0.21969253,-0.15163621,-0.841083,-0.40018597,-0.38065445,-0.31225175,-0.51706684,-0.9421421,0.011848361,0.55480033,-0.21979669,0.05810209,-0.5348347,1.1426791,-0.38734144,-0.13768348,-0.298747,0.12059588,-0.106968984,-0.03345934,-1.135679,0.24143684,-0.30586222,-0.70011866,-0.94317764,-0.27617195,-0.8642789,0.37354228,0.546935,-0.7012926,-0.2781942,-0.33755422,-0.50382596,-1.1119965
-0.90979546,0.81358445,-0.084751464,-0.31890905,-0.7113283,0.14333892,-0.21916647,0.989307,1.4946854,0.3063601,-0.049426273,0.8506906,0.9886906,1.4848517,1.196411,0.051027745,0.9065828,0.91762304,-0.8325617,0.18357246,0.5076276,0.8547932,0.98985165,0.46574602,-0.87944055,0.84171635,0.31356552,1.2996871,1.0270344,0.22776075,0.7312382,0.5271649,-0.5723331,1.1936558,1.0424215,0.9122692,0.77609766,-0.9542326,-0.44054976,-0.49520507,0.34181127,0.36540282,1.5672696,-0.6196407,1.1990548,0.043669406,0.6229146,-0.04501293,-1.0849154,-0.8677034,-1.5804178,1.8101605,-0.14832856,0.61835444,-0.07294747,0.20617959,0.22627904,0.39111066,0.04674957,0.3113826,0.019220028,0.44478327,0.84545046,0.10134534,0.47320014,1.210998,-0.8234512,0.5184037,0.7605438,0.75765157,0.5613692,-0.24433737,-0.21861397,-0.68862987,-0.5866051,-0.18543567,0.7956365,0.578216,0.6768778,0.1562916,0.97061145,0.52478063,0.30855244,0.86592215,0.06500025,0.21342112,0.17788252,0.529407,0.30997178,0.042982444,-1.0011427,-0.5132156,-0.8997,-0.22527589,0.1919401,-1.4155006,0.22384118,0.112016514,-1.9182041,-0.692794
